# Parity manifest: which comparison tier each corpus input and
# observable is entitled to. Published evidence, regenerated by
# `zig build parity-manifest -Denable-oracle=true`; the portable
# gate lives in conformance/parity_expectations.tsv.
#
# Coordinate deviations are in bond lengths (one bond = 50 units)
# and are per-(architecture, toolchain, optimize-mode) values: they
# describe the build that produced this file, not a promise about
# any other build.
#
# member	bucket	atoms	status	clean_pose	arch_unstable	order_unstable	arch_max_dev_bl	order_max_dev_bl
adversarial/168	tiny	4	ok	0	component_transforms,component_transforms_set	-	0.000	0.000
adversarial/169	medium	31	ok	0	coordinates,component_transforms,component_transforms_set	-	0.000	0.000
adversarial/170	medium	47	ok	0	component_transforms,component_transforms_set	-	0.000	0.000
adversarial/171	medium	35	ok	0	component_transforms,component_transforms_set	-	0.000	0.000
adversarial/172	medium	44	ok	0	coordinates,component_transforms,component_transforms_set	-	0.000	0.000
adversarial/173	medium	36	ok	0	coordinates,component_transforms,component_transforms_set	-	0.000	0.000
adversarial/174	small	14	ok	1	component_transforms,component_transforms_set	-	0.000	0.000
adversarial/175	large	59	ok	0	coordinates,component_transforms,component_transforms_set	-	0.001	0.000
adversarial/176	medium	30	ok	0	coordinates,component_transforms,component_transforms_set	-	9.893	0.000
adversarial/177	medium	34	ok	0	coordinates,component_transforms,component_transforms_set	-	0.001	0.000
adversarial/178	small	22	ok	0	coordinates,component_transforms,component_transforms_set	-	0.000	0.000
adversarial/179	medium	37	ok	0	coordinates,component_transforms,component_transforms_set	-	2.800	0.000
adversarial/180	medium	37	ok	0	coordinates,component_transforms,component_transforms_set	-	5.494	0.000
adversarial/181	small	21	ok	0	coordinates,component_transforms,component_transforms_set	-	0.000	0.000
adversarial/182	medium	41	ok	0	coordinates,component_transforms,component_transforms_set	-	1.703	0.000
adversarial/183	small	23	ok	0	coordinates,component_transforms,component_transforms_set	-	0.000	0.000
adversarial/184	medium	37	ok	0	coordinates,component_transforms,component_transforms_set	-	0.000	0.000
adversarial/185	medium	38	ok	0	coordinates,component_transforms,component_transforms_set	-	0.001	0.000
adversarial/186	small	18	ok	0	coordinates,component_transforms,component_transforms_set	-	0.000	0.000
adversarial/187	large	58	ok	0	coordinates,component_transforms,component_transforms_set	-	0.012	0.000
adversarial/188	huge	76	ok	0	coordinates,component_transforms,component_transforms_set	-	0.031	0.000
adversarial/189	medium	35	ok	0	coordinates,component_transforms,component_transforms_set	-	0.081	0.000
adversarial/190	large	50	ok	0	coordinates,component_transforms,component_transforms_set	-	0.000	0.000
adversarial/191	large	65	ok	0	coordinates,component_transforms,component_transforms_set	-	0.000	0.000
adversarial/192	small	15	ok	1	component_transforms,component_transforms_set	-	0.000	0.000
adversarial/193	medium	45	ok	0	coordinates,component_transforms,component_transforms_set	-	12.000	0.000
adversarial/194	medium	35	ok	0	coordinates,component_transforms,component_transforms_set	-	7.000	0.000
adversarial/195	medium	42	ok	0	coordinates,component_transforms,component_transforms_set	-	0.001	0.000
adversarial/196	large	52	ok	0	coordinates,component_transforms,component_transforms_set	-	0.026	0.000
adversarial/197	small	17	ok	0	component_transforms,component_transforms_set	-	0.000	0.000
adversarial/198	tiny	9	ok	1	coordinates,component_transforms,component_transforms_set	-	0.000	0.000
adversarial/199	small	27	ok	0	coordinates,component_transforms,component_transforms_set	-	0.000	0.000
adversarial/200	large	63	ok	0	coordinates,component_transforms,component_transforms_set	-	0.014	0.000
adversarial/201	small	14	ok	0	coordinates,component_transforms,component_transforms_set	-	1.366	0.000
adversarial/202	medium	35	ok	0	component_transforms,component_transforms_set	-	0.000	0.000
adversarial/203	large	56	ok	0	component_transforms,component_transforms_set	-	0.000	0.000
adversarial/204	medium	34	ok	0	coordinates,component_transforms,component_transforms_set	-	0.000	0.000
adversarial/205	medium	30	ok	0	coordinates,component_transforms,component_transforms_set	-	0.000	0.000
adversarial/206	small	10	ok	0	component_transforms,component_transforms_set	-	0.000	0.000
adversarial/207	large	53	ok	1	coordinates,component_transforms,component_transforms_set	-	0.010	0.000
adversarial/208	medium	34	ok	0	coordinates,component_transforms,component_transforms_set	-	0.137	0.000
adversarial/209	large	51	ok	0	coordinates,component_transforms,component_transforms_set	-	22.606	0.000
adversarial/210	tiny	9	ok	1	-	-	0.000	0.000
adversarial/211	small	18	ok	0	component_transforms,component_transforms_set	-	0.000	0.000
adversarial/212	small	15	ok	1	component_transforms,component_transforms_set	-	0.000	0.000
adversarial/213	small	19	ok	0	coordinates,component_transforms,component_transforms_set	-	0.000	0.000
adversarial/214	medium	46	ok	0	coordinates,component_transforms,component_transforms_set	-	0.000	0.000
adversarial/215	small	18	ok	0	component_transforms,component_transforms_set	-	0.000	0.000
adversarial/216	small	11	ok	1	component_transforms,component_transforms_set	-	0.000	0.000
adversarial/217	tiny	9	ok	0	coordinates,component_transforms,component_transforms_set	-	0.000	0.000
adversarial/218	medium	46	ok	0	coordinates,component_transforms,component_transforms_set	-	9.243	0.000
adversarial/219	medium	33	ok	0	coordinates,component_transforms,component_transforms_set	-	0.009	0.000
adversarial/220	small	28	ok	0	coordinates,component_transforms,component_transforms_set	-	0.070	0.000
adversarial/221	small	28	ok	0	coordinates,component_transforms,component_transforms_set	-	5.352	0.000
adversarial/222	medium	41	ok	0	coordinates,component_transforms,component_transforms_set	-	0.000	0.000
adversarial/223	large	51	ok	0	coordinates,component_transforms,component_transforms_set	-	0.062	0.000
adversarial/224	small	16	ok	0	coordinates,component_transforms,component_transforms_set	-	0.000	0.000
adversarial/225	small	21	ok	0	component_transforms,component_transforms_set	-	0.000	0.000
adversarial/226	medium	33	ok	0	coordinates,component_transforms,component_transforms_set	-	0.000	0.000
adversarial/227	large	55	ok	0	coordinates,component_transforms,component_transforms_set	-	13.000	0.000
adversarial/228	small	22	ok	0	component_transforms,component_transforms_set	-	0.000	0.000
adversarial/229	small	25	ok	0	coordinates,component_transforms,component_transforms_set	-	0.000	0.000
adversarial/230	tiny	4	ok	0	-	-	0.000	0.000
adversarial/231	tiny	9	ok	0	component_transforms,component_transforms_set	-	0.000	0.000
adversarial/232	tiny	9	ok	0	coordinates,component_transforms,component_transforms_set	-	0.000	0.000
adversarial/233	small	19	ok	1	coordinates,component_transforms,component_transforms_set	-	0.000	0.000
adversarial/234	small	26	ok	0	coordinates,component_transforms,component_transforms_set	-	2.801	0.000
